Roll No,2023-11-10
220001001,Present
220001002,Present
220001003,Present
220001004,Present
220001005,Present
220001006,Absent
220001007,Absent
220001008,Present
220001009,Present
220001010,Present
220001011,Present
220001012,Absent
220001013,Absent
220001014,Present
220001015,Present
220001016,Absent
220001017,Present
220001018,Absent
220001019,Absent
220001020,Absent
220001021,Absent
220001022,Absent
220001023,Present
220001024,Present
220001025,Present
220001026,Present
220001027,Present
220001028,Absent
220001029,Absent
220001031,Absent
220001032,Absent
220001033,Absent
220001034,Present
220001035,Absent
220001036,Present
220001037,Absent
220001038,Present
220001039,Absent
220001040,Absent
220001041,Absent
220001042,Present
220001043,Absent
220001044,Present
220001045,Present
220001046,Absent
220001047,Absent
220001048,Absent
220001049,Present
220001050,Absent
220001051,Absent
220001052,Absent
220001053,Absent
220001054,Present
220001055,Absent
220001056,Present
220001057,Absent
220001058,Present
220001059,Absent
220001060,Present
220001061,Present
220001062,Absent
220001063,Present
220001064,Present
220001065,Present
220001066,Absent
220001067,Present
220001068,Present
220001069,Present
220001070,Present
220001071,Absent
220001073,Absent
220001074,Absent
220001075,Present
220001076,Present
220001077,Absent
220001078,Present
220001079,Absent
220001080,Absent
220001081,Present
220001082,Present
220002018,Present
220002029,Absent
220002063,Present
220002081,Present
